it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
0,0,0,0, 0, 0,0
1,0,0,0, 0, 0,0
2,0,0,0, 0, 0,0
3,1,0,0, 1, 0,1
4,1,0,0, 1, 0,1
5,1,0,0, 1, 0,1
6,2,0,0, 2, 0,2
7,2,0,0, 2, 0,2
8,2,0,0, 2, 0,2
9,2,0,0, 2, 0,2
10,2,0,0, 2, 0,2
11,2,0,0, 2, 0,2
12,2,0,0, 2, 0,2
13,2,0,0, 2, 0,2
14,2,0,0, 2, 0,2
15,2,0,0, 2, 0,2
16,2,0,0, 2, 0,2
17,2,0,0, 2, 0,2
18,2,0,0, 2, 0,2
19,2,0,0, 2, 0,2
20,2,0,0, 2, 0,2
21,2,0,0, 2, 0,2
22,2,0,0, 2, 0,2
23,2,0,0, 2, 0,2
24,2,0,0, 2, 0,2
25,2,0,0, 2, 0,2
26,2,0,0, 2, 0,2
27,2,0,0, 2, 0,2
28,2,0,0, 2, 0,2
29,2,0,0, 2, 0,2
30,2,0,0, 2, 0,2
31,2,0,0, 2, 0,2
32,2,0,0, 2, 0,2
33,2,0,0, 2, 0,2
34,2,0,0, 2, 0,2
35,3,0,0, 3, 0,3
36,3,0,0, 3, 0,3
37,3,0,0, 3, 0,3
38,3,0,0, 3, 0,3
39,3,0,0, 3, 0,3
40,3,0,0, 3, 0,3
41,3,0,0, 3, 0,3
42,3,0,0, 3, 0,3
43,3,0,0, 3, 0,3
44,3,0,0, 3, 0,3
45,3,0,0, 3, 0,3
46,3,0,0, 3, 0,3
47,3,0,0, 3, 0,3
48,5,0,0, 5, 1,4
49,5,0,0, 5, 1,4
50,5,0,0, 5, 1,4
51,5,0,0, 5, 1,4
52,5,0,0, 5, 1,4
53,5,0,0, 5, 1,4
54,5,0,0, 5, 1,4
55,5,0,0, 5, 1,4
56,5,0,0, 5, 1,4
57,5,0,0, 5, 1,4
58,5,0,0, 5, 1,4
59,5,0,0, 5, 1,4
60,5,0,0, 5, 1,4
61,5,0,0, 5, 1,4
62,5,0,0, 5, 1,4
63,5,0,0, 5, 1,4
64,5,0,0, 5, 1,4
65,5,0,0, 5, 1,4
66,5,0,0, 5, 1,4
67,5,0,0, 5, 1,4
68,5,0,0, 5, 1,4
69,6,0,0, 6, 1,5
70,6,0,0, 6, 1,5
71,6,0,0, 6, 1,5
72,6,0,0, 6, 1,5
73,6,0,0, 6, 1,5
74,6,0,0, 6, 1,5
75,6,0,0, 6, 1,5
76,6,0,0, 6, 1,5
77,6,0,0, 6, 1,5
78,6,0,0, 6, 1,5
79,6,0,0, 6, 1,5
80,6,0,0, 6, 1,5
81,6,0,0, 6, 1,5
82,6,0,0, 6, 1,5
83,6,0,0, 6, 1,5
84,6,0,0, 6, 1,5
85,6,0,0, 6, 1,5
86,6,0,0, 6, 1,5
87,6,0,0, 6, 1,5
88,7,0,0, 7, 1,6
89,7,0,0, 7, 1,6
90,7,0,0, 7, 1,6
91,7,0,0, 7, 1,6
92,7,0,0, 7, 1,6
93,7,0,0, 7, 1,6
94,7,0,0, 7, 1,6
95,7,0,0, 7, 1,6
96,7,0,0, 7, 1,6
97,7,0,0, 7, 1,6
98,7,0,0, 7, 1,6
99,7,0,0, 7, 1,6
100,7,0,0, 7, 1,6
101,8,0,0, 8, 1,7
102,8,0,0, 8, 1,7
103,8,0,0, 8, 1,7
104,8,0,0, 8, 1,7
105,8,0,0, 8, 1,7
106,8,0,0, 8, 1,7
107,8,0,0, 8, 1,7
108,8,0,0, 8, 1,7
109,8,0,0, 8, 1,7
110,8,0,0, 8, 1,7
111,8,0,0, 8, 1,7
112,8,0,0, 8, 1,7
113,8,0,0, 8, 1,7
114,8,0,0, 8, 1,7
115,8,0,0, 8, 1,7
116,8,0,0, 8, 1,7
117,8,0,0, 8, 1,7
118,8,0,0, 8, 1,7
119,8,0,0, 8, 1,7
120,10,0,0, 10, 1,9
121,10,0,0, 10, 1,9
122,10,0,0, 10, 1,9
123,10,0,0, 10, 1,9
124,10,0,0, 10, 1,9
125,10,0,0, 10, 1,9
126,12,0,0, 12, 1,11
127,12,0,0, 12, 1,11
128,13,0,0, 13, 1,12
129,14,0,0, 14, 1,13
130,14,0,0, 14, 1,13
131,14,0,0, 14, 1,13
132,14,0,0, 14, 1,13
133,15,0,0, 15, 1,14
134,15,0,0, 15, 1,14
135,15,0,0, 15, 1,14
136,15,0,0, 15, 1,14
137,15,0,0, 15, 1,14
138,15,0,0, 15, 1,14
139,15,0,0, 15, 1,14
140,15,0,0, 15, 1,14
141,15,0,0, 15, 1,14
142,15,0,0, 15, 1,14
143,15,0,0, 15, 1,14
144,15,0,0, 15, 1,14
145,15,0,0, 15, 1,14
146,15,0,0, 15, 1,14
147,15,0,0, 15, 1,14
148,15,0,0, 15, 1,14
149,15,0,0, 15, 1,14
150,15,0,0, 15, 1,14
151,15,0,0, 15, 1,14
152,15,0,0, 15, 1,14
153,15,0,0, 15, 1,14
154,16,0,1, 15, 1,15
155,16,0,1, 15, 1,15
156,16,0,1, 15, 1,15
157,16,0,1, 15, 1,15
158,16,0,1, 15, 1,15
159,16,0,1, 15, 1,15
160,16,0,1, 15, 1,15
161,16,0,1, 15, 1,15
162,16,0,1, 15, 1,15
163,16,0,1, 15, 1,15
164,16,0,1, 15, 1,15
165,16,0,1, 15, 1,15
166,16,0,1, 15, 1,15
167,16,0,1, 15, 1,15
168,16,0,1, 15, 1,15
169,16,0,1, 15, 1,15
170,17,0,2, 15, 1,16
171,17,0,2, 15, 1,16
172,17,0,2, 15, 1,16
173,17,0,2, 15, 1,16
174,17,0,2, 15, 1,16
175,18,0,3, 15, 1,17
176,18,0,3, 15, 1,17
177,19,0,4, 15, 1,18
178,19,0,4, 15, 1,18
179,19,0,4, 15, 1,18
