it,NbHunter,NbRunner,NbWin,MortRunner
0,31,81,0,0
1,31,81,0,0
2,31,81,0,0
3,31,80,0,1
4,31,80,0,1
5,31,80,0,1
6,31,79,0,2
7,31,79,0,2
8,31,79,0,2
9,30,79,0,2
10,30,79,0,2
11,30,79,0,2
12,30,79,0,2
13,30,79,0,2
14,30,79,0,2
15,30,79,0,2
16,30,79,0,2
17,30,79,0,2
18,30,79,0,2
19,30,79,0,2
20,30,79,0,2
21,30,79,0,2
22,30,79,0,2
23,30,79,0,2
24,30,79,0,2
25,30,79,0,2
26,30,79,0,2
27,30,79,0,2
28,30,79,0,2
29,30,79,0,2
30,30,79,0,2
31,30,79,0,2
32,29,79,0,2
33,29,79,0,2
34,29,79,0,2
35,29,78,0,3
36,29,78,0,3
37,29,78,0,3
38,29,78,0,3
39,29,78,0,3
40,29,78,0,3
41,29,78,0,3
42,29,78,0,3
43,29,78,0,3
44,29,78,0,3
45,29,78,0,3
46,29,78,0,3
47,29,78,0,3
48,29,76,0,5
49,29,76,0,5
50,29,76,0,5
51,29,76,0,5
52,29,76,0,5
53,29,76,0,5
54,29,76,0,5
55,29,76,0,5
56,29,76,0,5
57,29,76,0,5
58,29,76,0,5
59,29,76,0,5
60,29,76,0,5
61,29,76,0,5
62,29,76,0,5
63,29,76,0,5
64,29,76,0,5
65,29,76,0,5
66,29,76,0,5
67,29,76,0,5
68,29,76,0,5
69,29,75,0,6
70,29,75,0,6
71,29,75,0,6
72,29,75,0,6
73,29,75,0,6
74,29,75,0,6
75,29,75,0,6
76,29,75,0,6
77,29,75,0,6
78,29,75,0,6
79,29,75,0,6
80,29,75,0,6
81,29,75,0,6
82,29,75,0,6
83,29,75,0,6
84,29,75,0,6
85,29,75,0,6
86,29,75,0,6
87,29,75,0,6
88,29,74,0,7
89,29,74,0,7
90,29,74,0,7
91,29,74,0,7
92,29,74,0,7
93,29,74,0,7
94,29,74,0,7
95,29,74,0,7
96,29,74,0,7
97,29,74,0,7
98,29,74,0,7
99,29,74,0,7
100,29,74,0,7
101,29,73,0,8
102,29,73,0,8
103,29,73,0,8
104,29,73,0,8
105,29,73,0,8
106,29,73,0,8
107,29,73,0,8
108,29,73,0,8
109,29,73,0,8
110,29,73,0,8
111,29,73,0,8
112,29,73,0,8
113,29,73,0,8
