it,NbRunner,nbSmart,nbNotSmart
0,81,20,60
1,81,20,60
2,81,20,60
3,81,20,60
4,81,20,60
5,81,20,60
6,81,20,60
7,81,20,60
8,81,20,60
9,81,20,60
10,81,20,60
11,81,20,60
12,81,20,60
13,81,20,60
14,80,20,59
15,80,20,59
16,80,20,59
17,80,20,59
18,80,20,59
19,80,20,59
20,80,20,59
21,80,20,59
22,80,20,59
23,80,20,59
24,80,20,59
25,80,20,59
26,80,20,59
27,80,20,59
28,79,20,58
29,79,20,58
30,79,20,58
31,79,20,58
32,78,20,57
33,78,20,57
34,78,20,57
35,78,20,57
36,78,20,57
37,78,20,57
38,78,20,57
39,77,20,56
40,77,20,56
41,77,20,56
42,77,20,56
43,77,20,56
44,77,20,56
45,77,20,56
46,76,20,55
47,75,20,54
48,75,20,54
49,75,20,54
50,75,20,54
51,75,20,54
52,75,20,54
53,75,20,54
54,75,20,54
55,75,20,54
56,75,20,54
57,75,20,54
58,75,20,54
59,75,20,54
60,75,20,54
61,75,20,54
62,75,20,54
63,75,20,54
64,75,20,54
65,75,20,54
66,75,20,54
67,75,20,54
68,75,20,54
69,75,20,54
70,75,20,54
71,75,20,54
72,75,20,54
73,75,20,54
74,75,20,54
75,75,20,54
76,75,20,54
77,75,20,54
78,75,20,54
79,75,20,54
80,75,20,54
81,75,20,54
82,75,20,54
83,75,20,54
84,75,20,54
85,75,20,54
86,75,20,54
87,75,20,54
88,75,20,54
89,75,20,54
90,75,20,54
91,74,20,53
92,74,20,53
93,74,20,53
94,74,20,53
95,74,20,53
96,74,20,53
97,74,20,53
98,74,20,53
99,74,20,53
100,73,20,52
101,73,20,52
102,73,20,52
103,73,20,52
104,73,20,52
105,73,20,52
106,73,20,52
107,73,20,52
108,73,20,52
109,73,20,52
110,73,20,52
111,73,20,52
112,73,20,52
113,72,20,51
114,72,20,51
115,72,20,51
116,72,20,51
117,72,20,51
118,72,20,51
119,72,20,51
120,72,20,51
121,72,20,51
122,72,20,51
123,72,20,51
124,71,20,50
125,71,20,50
126,70,19,50
127,70,19,50
128,70,19,50
129,70,19,50
130,70,19,50
131,68,19,48
132,68,19,48
133,68,19,48
134,67,19,47
135,67,19,47
136,67,19,47
137,66,19,46
138,66,19,46
139,66,19,46
140,66,19,46
141,66,19,46
142,66,19,46
143,66,19,46
144,66,19,46
145,66,19,46
146,65,19,45
147,63,18,44
148,63,18,44
149,63,18,44
150,63,18,44
151,63,18,44
152,63,18,44
153,62,18,43
154,62,18,43
155,62,18,43
156,62,18,43
157,62,18,43
158,62,18,43
159,62,18,43
160,62,18,43
161,62,18,43
162,62,18,43
163,62,18,43
164,62,18,43
165,62,18,43
166,62,18,43
167,62,18,43
168,62,18,43
169,62,18,43
170,62,18,43
171,62,18,43
172,61,18,42
173,61,18,42
174,61,18,42
175,61,18,42
176,61,18,42
177,61,18,42
178,61,18,42
179,61,18,42
180,61,18,42
181,61,18,42
182,61,18,42
183,61,18,42
184,61,18,42
185,61,18,42
186,61,18,42
187,61,18,42
188,61,18,42
189,61,18,42
190,61,18,42
191,61,18,42
192,61,18,42
193,61,18,42
194,61,18,42
195,61,18,42
196,61,18,42
197,61,18,42
198,61,18,42
199,61,18,42
200,61,18,42
201,60,18,41
202,60,18,41
203,60,18,41
204,60,18,41
205,60,18,41
206,60,18,41
207,60,18,41
208,60,18,41
209,60,18,41
210,60,18,41
211,60,18,41
212,60,18,41
213,60,18,41
214,59,18,40
215,59,18,40
216,59,18,40
217,59,18,40
218,59,18,40
219,58,17,40
220,58,17,40
221,58,17,40
222,58,17,40
223,57,17,39
224,57,17,39
225,57,17,39
226,56,17,38
227,56,17,38
228,56,17,38
229,56,17,38
230,56,17,38
231,56,17,38
232,56,17,38
233,56,17,38
234,56,17,38
235,56,17,38
236,56,17,38
237,56,17,38
238,56,17,38
239,56,17,38
240,56,17,38
241,56,17,38
242,56,17,38
243,56,17,38
244,56,17,38
245,56,17,38
246,56,17,38
247,56,17,38
248,55,16,38
249,55,16,38
250,55,16,38
251,55,16,38
252,55,16,38
253,55,16,38
254,55,16,38
255,55,16,38
256,55,16,38
257,55,16,38
258,55,16,38
259,55,16,38
260,55,16,38
261,55,16,38
262,55,16,38
263,55,16,38
264,55,16,38
265,55,16,38
266,55,16,38
267,55,16,38
268,55,16,38
269,55,16,38
270,54,15,38
271,54,15,38
272,54,15,38
273,54,15,38
274,53,15,37
275,53,15,37
276,53,15,37
277,53,15,37
278,52,15,36
279,52,15,36
280,52,15,36
281,52,15,36
282,52,15,36
283,52,15,36
284,52,15,36
285,52,15,36
286,52,15,36
287,52,15,36
288,52,15,36
289,51,15,35
290,51,15,35
291,50,15,34
292,50,15,34
293,50,15,34
294,50,15,34
295,50,15,34
296,50,15,34
297,50,15,34
298,50,15,34
299,50,15,34
300,49,15,33
301,49,15,33
302,48,15,32
303,46,15,30
304,46,15,30
305,46,15,30
306,46,15,30
307,46,15,30
308,46,15,30
309,46,15,30
310,46,15,30
311,45,15,29
312,44,15,28
313,42,14,27
314,42,14,27
315,41,14,26
316,40,14,25
317,40,14,25
318,40,14,25
319,40,14,25
320,40,15,25
321,38,13,25
322,38,13,25
323,38,13,25
324,38,13,25
325,38,13,25
326,38,14,25
327,38,14,25
328,36,13,24
329,36,13,24
330,35,13,24
331,34,13,23
332,33,12,23
333,32,12,22
334,32,13,22
335,32,14,22
336,32,14,22
337,32,14,22
338,32,16,22
339,32,16,22
340,32,16,22
341,32,16,22
342,32,18,22
343,32,18,22
344,32,18,22
345,32,18,22
346,32,18,22
347,32,18,22
348,32,18,22
349,32,18,22
350,32,18,22
351,32,18,22
352,32,18,22
353,32,19,22
354,32,20,22
355,32,21,22
356,32,22,22
357,32,22,22
358,32,22,22
359,32,22,22
360,32,23,22
361,32,23,22
362,32,23,22
363,32,23,22
364,32,23,22
365,32,24,22
366,32,25,22
367,32,26,22
368,32,26,22
369,31,26,21
370,31,26,21
371,31,26,21
372,31,26,21
373,31,27,21
374,31,27,21
375,31,27,21
376,31,27,21
377,31,27,21
378,31,27,21
379,31,27,21
380,31,27,21
381,31,27,21
382,31,28,21
383,31,28,21
384,31,29,21
385,31,29,21
386,31,29,21
387,31,29,21
388,31,29,21
389,31,30,21
390,31,30,21
391,31,30,21
392,31,30,21
393,31,30,21
394,31,30,21
395,31,30,21
396,31,30,21
397,31,30,21
398,31,30,21
399,31,30,21
400,31,30,21
401,31,30,21
402,31,30,21
403,31,30,21
404,31,30,21
405,31,30,21
406,31,30,21
407,31,30,21
408,31,30,21
409,31,30,21
410,31,30,21
411,31,30,21
412,31,30,21
413,31,30,21
414,31,30,21
415,31,30,21
416,31,30,21
417,31,30,21
418,31,30,21
419,31,30,21
420,31,30,21
421,31,30,21
422,31,30,21
423,31,30,21
424,31,30,21
425,31,30,21
426,30,29,21
427,30,29,21
428,30,29,21
429,30,29,21
430,30,29,21
431,30,29,21
432,30,29,21
433,30,29,21
434,30,29,21
435,30,29,21
436,30,29,21
437,30,29,21
438,30,29,21
439,30,29,21
440,30,29,21
441,30,29,21
442,30,29,21
443,30,29,21
444,30,29,21
445,30,29,21
446,30,29,21
447,29,28,21
448,29,28,21
449,29,28,21
450,29,28,21
451,29,28,21
452,28,27,21
453,28,27,21
454,28,27,21
455,28,27,21
456,28,27,21
457,28,27,21
458,28,27,21
459,28,27,21
460,28,27,21
461,28,27,21
462,28,27,21
463,28,27,21
464,28,27,21
465,28,27,21
466,28,27,21
467,28,27,21
468,27,26,21
469,27,26,21
470,27,26,21
471,27,26,21
472,27,26,21
473,27,26,21
474,27,26,21
475,27,26,21
476,27,26,21
477,27,26,21
478,27,26,21
479,27,26,21
480,27,26,21
481,27,26,21
482,27,26,21
483,27,26,21
484,27,26,21
485,27,26,21
486,27,26,21
487,27,26,21
488,27,26,21
489,27,26,21
490,27,26,21
491,27,26,21
492,27,26,21
493,27,26,21
494,27,26,21
495,27,26,21
496,27,26,21
497,27,26,21
498,27,26,21
499,27,26,21
500,27,26,21
501,27,26,21
502,27,26,21
503,27,26,21
504,27,26,21
505,27,26,21
506,27,26,21
507,27,26,21
508,27,26,21
509,27,26,21
510,27,26,21
511,27,26,21
512,27,26,21
513,26,25,21
514,26,25,21
515,26,25,21
516,26,25,21
517,26,25,21
518,26,25,21
519,26,25,21
520,26,25,21
521,26,25,21
522,26,25,21
523,26,25,21
524,26,25,21
525,26,25,21
526,26,25,21
527,26,25,21
528,26,25,21
529,26,25,21
530,25,24,21
531,24,23,21
532,24,23,21
533,24,23,21
534,24,23,21
535,24,23,21
536,24,23,21
537,24,23,21
538,24,23,21
539,24,23,21
540,24,23,21
541,24,23,21
542,24,23,21
543,24,23,21
544,24,23,21
545,24,23,21
546,24,23,21
547,24,23,21
548,24,23,21
549,24,23,21
550,24,23,21
551,24,23,21
552,24,23,21
553,24,23,21
554,24,23,21
555,24,23,21
556,24,23,21
557,24,23,21
558,24,23,21
559,24,23,21
560,24,23,21
561,24,23,21
562,24,23,21
563,24,23,21
564,24,23,21
565,24,23,21
566,24,23,21
567,24,23,21
568,24,23,21
569,24,23,21
570,24,23,21
571,24,23,21
572,24,23,21
573,24,23,21
574,24,23,21
